W,mean_log_ipr,typical_ipr,standard_error_mean_log_ipr
0.000000000000000000e+00,-4.439176856765557844e+00,1.180565226409098847e-02,9.530697278712361650e-03
2.000000000000000000e+00,-4.145240614232357679e+00,1.583962425373450916e-02,1.170910948533698814e-02
4.000000000000000000e+00,-4.216063638985458439e+00,1.475661770295826590e-02,8.077738917542375300e-04
