W,mean_spacing_ratio,standard_error
1.000000000000000000e+00,5.140159855665281663e-01,9.609570659856458974e-03
1.300000000000000000e+01,4.712874614774190674e-01,1.048069354012609589e-01
2.500000000000000000e+01,5.034203647164028350e-01,7.845287806141876263e-02
