W,mean_spacing_ratio,standard_error
1.000000000000000000e+00,5.365635107892068323e-01,1.039177989918836226e-01
1.300000000000000000e+01,5.092593910359977105e-01,1.695377223621141391e-02
2.500000000000000000e+01,5.083145034488441016e-01,7.146808194896756006e-02
