W,mean_log_ipr,typical_ipr,standard_error_mean_log_ipr
0.000000000000000000e+00,-4.309997469206065190e+00,1.343358359183416569e-02,2.250992633391035377e-02
2.000000000000000000e+00,-4.238796675906156608e+00,1.442493928071300613e-02,1.770445356528504988e-02
4.000000000000000000e+00,-4.264394969213148201e+00,1.406037151772212418e-02,5.762573723140373104e-03
